,Nc_init,M_init,Nr_init,rtype_init,dtype_init,divide_init,total population_init,staticdif_init,EP_init,dif_init,Cell  Volume_max_init,Cell  Volume_min_init,Cell  Volume_ave_init,Cell  Volume_var_init,Total Chemicals_max_init,Total Chemicals_min_init,Total Chemicals_ave_init,Total Chemicals_var_init,Nc_last,M_last,Nr_last,rtype_last,dtype_last,divide_last,total population_last,staticdif_last,EP_last,dif_last,Cell  Volume_max_last,Cell  Volume_min_last,Cell  Volume_ave_last,Cell  Volume_var_last,Total Chemicals_max_last,Total Chemicals_min_last,Total Chemicals_ave_last,Total Chemicals_var_last
0,100,100,50,random,gradient,True,5467.991406120971,4.294883785665428,-1236.6720958041265,1240.966979589792,62.45796163769062,48.68273169795909,54.679914061209715,8.132764583310482,62.761358563735286,41.284796501815975,54.679914061209715,19.715237062102382,100,100,50,random,gradient,True,5467.991406120971,-4425165372754.271,-9.196799734826261e+21,9.196799730401095e+21,542874085957250.94,2519.3072620887165,9429870907390.967,4.4590991271631195e+27,930492253581509.4,34.43893146459189,9429870907390.965,8.570796842942185e+27
1,100,500,250,random,gradient,True,41609.32204693339,567.8351456368471,-40378.74559005181,40946.58073568866,433.10402130158525,398.49314445250155,416.0932204693339,38.39422928126891,118.89419495336818,49.349978797159785,83.21864409386679,362.97226760080764,100,500,250,random,gradient,True,41609.32204693339,-38375452.45308075,-19572168196608.69,19572129821156.24,1247892496.8057747,3241737.9754804885,84321228.9217613,3.0205072148858308e+16,4472430713.393894,11.109926641771896,16864245.78435226,6.6852933812891416e+16
2,100,10,8,random,gradient,True,489.63273329845947,0.0019183709397879057,-1.1148823308773672,1.116800701817155,6.723989972485595,2.514813627918754,4.896327332984594,0.8977187141029906,51.97608942631971,45.77946225605108,48.96327332984594,4.805342599749201,100,10,8,random,gradient,True,489.63273329845947,-349678431251841.6,-2.793053926106515e+33,2.793053926106515e+33,1.3307545770295752e+17,20.46290945067141,1330754577029609.8,1.7531986668423108e+32,1.3307545768087925e+17,51.837734143423056,1.33075457702961e+16,1.5938169692690227e+33
3,500,500,50,random,gradient,True,489578.9346775396,3136.338192726222,-1410693.3735262887,1413829.711719015,997.4612357497308,960.9891323661686,979.1578693550792,35.28239047328248,1696.2538671537532,263.6385640666262,979.1578693550792,170197.71130383157,500,500,50,random,gradient,True,489578.9346775396,-38513717.15729735,-19613434178384.977,19613395664667.82,453756696.79876447,271481595.96966934,345649363.9020719,1162671766041475.8,167613201432.4492,64.51568312327156,345649363.9020721,5.6081269070851465e+19
4,100,50,5,random,gradient,True,2634.3272749359007,0.35873834043902025,-161.1584664715637,161.51720481200275,30.860804262375325,21.41544953682421,26.343272749359006,3.6131026631882253,58.81714531146343,45.253303705777896,52.68654549871801,8.663971421345089,100,50,5,random,gradient,True,2634.3272749359007,-260425533.57409823,-2007040540214900.0,2007040279789366.5,20002259868.079712,11434.547185082625,2005586650.1658535,3.5986944709727486e+19,20053180865.45326,27.59973431235816,401117330.03317064,7.881706215152603e+18
5,400,50,5,random,gradient,True,12197.42569670811,2.700181044452087,-7614.607570040511,7617.307751084963,36.79400749788416,25.182226952148373,30.49356424177027,4.066067918074484,284.90346366136816,205.66764504782424,243.94851393416215,435.93000056191596,400,50,5,random,gradient,True,12197.42569670811,-65164950.980375186,-6.328581496097206e+16,6.328581489580711e+16,207728235749.1182,38675.39519015236,829877411.9166605,1.1959130900499305e+20,331927094711.4284,71.9048285174291,6639019295.333287,2.1594353502217846e+21
6,100,500,50,random,gradient,True,40289.9373682975,528.3770508184498,-36020.996840886786,36549.37389170524,421.1603039945912,385.8121116427689,402.899373682975,43.96786364061873,114.99583657688494,47.64938511537582,80.579874736595,310.27731289606237,100,500,50,random,gradient,True,40289.9373682975,-2682079347519940.5,-1.789793284322486e+33,1.789793284322486e+33,8.226624180686773e+16,10682.389715056697,1799342152042552.5,1.1227214180695876e+32,1.7993421462519066e+17,192.18553755383329,359868430408510.56,6.4623137898363665e+31
7,500,30,15,random,gradient,True,8952.938561258836,0.9647432001162679,-5810.643154994358,5811.607898194475,22.40492852284276,13.222028276416282,17.905877122517673,2.304169219930647,333.1608863036353,266.3983923236745,298.4312853752946,356.17370370377284,500,30,15,random,gradient,True,8952.938561258836,-8889907.707427537,-4775961037255977.0,4775961028366069.0,23580811186.463,216503.51995486813,164564512.36325094,1.789421741941537e+18,80320021553.73193,22.818777327855724,2742741872.72085,2.076455064380801e+20
8,200,500,400,random,gradient,True,124221.61797950171,1391.453714606729,-238189.09750656254,239580.55122116927,637.0690925045956,604.3922348913447,621.1080898975085,46.38090929021792,398.4913836419046,101.53331295484416,248.4432359590034,7013.1309589557,200,500,400,random,gradient,True,124221.61797950171,-6.544152078914068e+18,-1.1419659329672662e+39,1.1419659329672662e+39,7.825033530360224e+19,16054720564.586435,5.13474439571703e+17,3.0930156017037475e+37,1.0269488789457492e+20,15.504393350598157,2.0538977582868118e+17,2.1050295039343667e+37
9,100,100,80,random,gradient,True,5593.74441367657,4.694668469018179,-1441.3101795255072,1446.0048479945253,63.126239952780345,48.87397996656959,55.9374441367657,8.083660397377757,64.53021645335495,45.5861982736967,55.9374441367657,17.296624793173383,100,100,80,random,gradient,True,5593.74441367657,-352958189014.35376,-1.0023636974243562e+23,1.0023636974208266e+23,77562321237402.47,525625.444548326,801671264612.5183,5.954236590052081e+25,80151965016420.25,1.4115231417730534,801671264612.5187,6.360069977782106e+25
