,Nc_init,M_init,Nr_init,rtype_init,dtype_init,divide_init,nlin_init,total population_init,staticdif_init,EP_init,dif_init,Cell  Volume_max_init,Cell  Volume_min_init,Cell  Volume_ave_init,Cell  Volume_var_init,Total Chemicals_max_init,Total Chemicals_min_init,Total Chemicals_ave_init,Total Chemicals_var_init,Nc_last,M_last,Nr_last,rtype_last,dtype_last,divide_last,nlin_last,total population_last,staticdif_last,EP_last,dif_last,Cell  Volume_max_last,Cell  Volume_min_last,Cell  Volume_ave_last,Cell  Volume_var_last,Total Chemicals_max_last,Total Chemicals_min_last,Total Chemicals_ave_last,Total Chemicals_var_last
0,500,10,8,random,gradient,True,True,2786.8960514156797,0.05642855275616319,-1010.1003445860085,1010.1567731387647,8.30841721057081,2.9252703487816367,5.5737921028313595,0.8292550529949895,303.8464684181229,268.0339877615371,278.689605141568,88.70304621518162,500,10,8,random,gradient,True,True,2786.8960514156797,1.1789343602686131e-08,0.34005315140370296,-0.34005313961435935,474.7692570262209,474.76912861377264,474.76920374707856,1.0668857955387982e-09,2392.3269850604315,2344.055569282271,2373.846018735393,185.4770774030908
1,100,50,5,random,gradient,True,True,2632.9387810748567,0.35345896771203844,-157.32069026368765,157.6741492313997,30.847401851803898,21.401631234119044,26.329387810748567,3.6132278155314492,58.91000576113718,45.1428770232255,52.658775621497135,8.791395832225327,100,50,5,random,gradient,True,True,2632.9387810748567,1.3846789443050511e-08,0.8271667681989204,-0.8271667543521309,322.78526865773404,322.78522707914806,322.7852450944252,1.9689968473547447e-10,73.63376423549555,61.21944417174143,64.55704901888504,3.978641241937777
2,500,50,5,random,gradient,True,True,16381.00926245279,4.059410716592489,-15182.112433733382,15186.171844449975,38.63444788099855,27.072074341852197,32.76201852490558,3.9633423470284734,399.05938355772446,253.02119485561488,327.6201852490558,1656.6181325777939,500,50,5,random,gradient,True,True,16381.00926245279,3.555964740371564e-07,3.7328732446418154,-3.7328728890453413,2572.5229422045563,2572.5215692282786,2572.52229652666,1.0807104122570767e-07,2594.479758700659,2539.6725984002833,2572.52229652666,81.21368182187383
3,100,500,50,random,gradient,True,True,40286.94229355405,528.3134777557538,-36011.35760334375,36539.67108109951,421.13053009962215,385.78226378361967,402.86942293554057,43.968063284893056,115.30129938008419,47.425712028964874,80.57388458710811,309.26249745859695,100,500,50,random,gradient,True,True,40286.94229355405,7.17885559424758e-07,62.88456516092649,-62.88456444304093,6245.622723253092,6245.62187992128,6245.622281200366,6.405655051122897e-08,130.0578380071147,121.1912384569708,124.91244562400732,2.2373083414285713
4,200,10,8,random,gradient,True,True,1033.4681771303563,0.015507027000559788,-94.53609473737964,94.55160176438021,7.439469435393542,2.6533631762072343,5.167340885651781,0.9071279119423606,108.56209889320274,97.82540278175041,103.34681771303563,15.415921446093728,200,10,8,random,gradient,True,True,1033.4681771303563,8.163315379761116e-08,0.05600769359937789,-0.05600761196622409,175.54204553720874,175.53836830649595,175.54008773087494,1.2624978115745481e-06,375.4433349573637,336.87823303472373,351.0801754617499,124.56643424991725
5,200,10,5,random,gradient,True,True,1032.1173944950128,0.01587553612583099,-95.43316144391022,95.44903698003606,7.288705722819716,2.8824708062153066,5.160586972475064,0.8382161642935224,107.13637650128919,95.25629377353664,103.21173944950131,10.816432898672298,200,10,5,random,gradient,True,True,1032.1173944950128,2.2250454719596747e-07,0.09792655176920018,-0.09792632926465299,164.1825151613836,164.16949728441043,164.17491351659694,1.0174798069545426e-05,342.00656407837005,306.4645340799666,328.3498270331939,91.923462691613
6,100,500,400,random,gradient,True,True,42913.58277893537,603.938322768677,-44649.68274236495,45253.62106513363,441.3854659200348,415.8640655085267,429.13582778935375,36.24479226208289,123.13379811299312,47.05382510223221,85.82716555787076,415.50406437397345,100,500,400,random,gradient,True,True,42913.58277893537,5.020841490477324e-08,66.28954279711539,-66.28954274690697,7247.310470353119,7247.310445922631,7247.310457570952,4.83574340069592e-11,156.70178600145366,138.20288335641357,144.94620915141905,3.116102878868039
7,200,50,40,random,gradient,True,True,5661.727460220502,1.5962337703455651,-2199.101426109118,2200.6976598794636,33.498405419094176,22.53434117367555,28.308637301102504,4.075792521970304,128.4886589472186,94.69498826941373,113.23454920441002,65.63124146461404,200,50,40,random,gradient,True,True,5661.727460220502,1.465941668357118e-07,1.5210662737175584,-1.5210661271233916,1172.527294637048,1172.5268484410396,1172.5270508040314,1.947961260813606e-08,495.1925392164742,452.0997292699222,469.0108203216126,45.71735403807107
8,200,30,24,random,gradient,True,True,3276.436969122594,0.331028985540951,-732.7402788611694,733.0713078467103,21.349459515755974,11.925869438252883,16.38218484561297,2.7417520069076,119.15324786604117,98.98120218607721,109.2145656374198,27.921662556855217,200,30,24,random,gradient,True,True,3276.436969122594,1.3014127944188658e-08,0.5600839780097587,-0.5600839649956307,620.8484413496076,620.8483716346183,620.8484162296802,3.231471287635841e-10,447.4751226803373,398.00667087515575,413.8989441531201,116.80943553789858
9,400,100,50,random,gradient,True,True,28957.340135131173,21.756806635244278,-32430.06447348268,32451.82128011792,80.45867401485303,62.08903024676038,72.39335033782794,7.400564484667025,373.76381219816557,207.16446090039025,289.5734013513117,2190.073018266999,400,100,50,random,gradient,True,True,28957.340135131173,3.041758027393371e-07,11.493753477259201,-11.493753173083398,4046.435275920681,4046.4346476445753,4046.4348778673852,1.8868461250056433e-08,1640.9093480183096,1584.3494970853285,1618.5739511469542,86.2235062324278
